상호명,상권업종소분류명,시도명,시군구명,위도,경도,좌석 수,1인 좌석 수,콘센트 ,와이파이 속도
다복다복,카페,제주특별자치도,제주시,33.52304036,126.8579947,22,7,6,140mbps
사닮과,카페,제주특별자치도,제주시,33.47720846,126.5431066,26,5,22,81mbps
스팅그레이,카페,제주특별자치도,제주시,33.30408462,126.2473403,39,9,31,103mbps
카페코삿,카페,제주특별자치도,서귀포시,33.25984564,126.5729387,23,4,17,104mbps
지유명차,카페,제주특별자치도,서귀포시,33.25290542,126.4257096,20,6,11,137mbps
에스엔씨라운지,카페,제주특별자치도,서귀포시,33.25577113,126.5758238,10,3,8,127mbps
조은기록,카페,제주특별자치도,제주시,33.42357995,126.2773514,31,10,17,123mbps
시간당킬로미터,카페,제주특별자치도,서귀포시,33.25486154,126.5121805,26,8,13,150mbps
메이크어베러,카페,제주특별자치도,제주시,33.47814918,126.4755579,36,12,16,59mbps
바다바라,카페,제주특별자치도,서귀포시,33.24589446,126.4129758,13,4,7,112mbps
로우파이,카페,제주특별자치도,제주시,33.48055783,126.4758877,24,4,18,99mbps
아일렛,카페,제주특별자치도,제주시,33.48166198,126.5430079,11,3,8,132mbps
로이셀,카페,제주특별자치도,제주시,33.4946562,126.546071,27,13,9,118mbps
우도부릉이,카페,제주특별자치도,제주시,33.51754831,126.9488288,38,7,36,81mbps
유랑노점아일랜드조르바,카페,제주특별자치도,제주시,33.53556744,126.8390475,34,11,25,101mbps
망고레이,카페,제주특별자치도,제주시,33.49470526,126.4391512,18,6,2,82mbps
지중해,카페,제주특별자치도,서귀포시,33.2496324,126.5145596,44,22,41,93mbps
제일다방,카페,제주특별자치도,제주시,33.41335987,126.2611811,13,4,13,110mbps
설빙,카페,제주특별자치도,서귀포시,33.24761559,126.564006,40,13,34,58mbps
연화차,카페,제주특별자치도,제주시,33.4875679,126.7147821,50,16,47,123mbps
빽다방제주연동,카페,제주특별자치도,제주시,33.48586553,126.4969986,26,8,6,110mbps
달콤해,카페,제주특별자치도,서귀포시,33.2237642,126.255463,50,10,49,111mbps
시간을담다,카페,제주특별자치도,제주시,33.52998367,126.8438377,16,3,11,73mbps
카페따라비,카페,제주특별자치도,서귀포시,33.36173024,126.7666813,11,3,9,72mbps
달리는커피서귀포,카페,제주특별자치도,서귀포시,33.25003025,126.5609572,44,8,29,118mbps
카페온결,카페,제주특별자치도,제주시,33.35987881,126.1905404,17,4,14,131mbps
오리지날로맨스,카페,제주특별자치도,제주시,33.40083557,126.2504521,25,12,21,90mbps
고래가품은바다,카페,제주특별자치도,서귀포시,33.21185456,126.2570869,13,6,6,132mbps
우담건강다원,카페,제주특별자치도,제주시,33.49534986,126.9022034,22,11,13,129mbps
그남자이야기파트1,카페,제주특별자치도,제주시,33.5262524,126.6599698,18,4,6,81mbps
설빙제주아라점,카페,제주특별자치도,제주시,33.49396095,126.5408987,32,8,25,147mbps
땡초김밥싱싱왕만두,카페,제주특별자치도,제주시,33.47318651,126.5453331,14,2,14,111mbps
커피베이,카페,제주특별자치도,제주시,33.4905104,126.4777861,26,8,20,119mbps
헤븐리,카페,제주특별자치도,서귀포시,33.27684037,126.7140953,25,8,19,108mbps
제주한치빵우도점,카페,제주특별자치도,제주시,33.51417948,126.9571509,13,3,8,74mbps
컴포즈커피제주서사라점,카페,제주특별자치도,제주시,33.49965021,126.5195502,10,3,6,97mbps
아라커피,카페,제주특별자치도,제주시,33.48431477,126.5362907,48,9,45,97mbps
금선다원,카페,제주특별자치도,서귀포시,33.26447829,126.6137643,24,8,5,97mbps
야자나라,카페,제주특별자치도,서귀포시,33.23580946,126.5051623,25,5,21,98mbps
선물가게바나나,카페,제주특별자치도,서귀포시,33.25803181,126.4171337,13,6,2,133mbps
공차한라대점,카페,제주특별자치도,제주시,33.47861577,126.4750279,35,11,26,144mbps
컴포즈커피연동,카페,제주특별자치도,제주시,33.48636705,126.4961672,39,7,23,75mbps
한라산,카페,제주특별자치도,제주시,33.52472286,126.8629007,50,10,37,109mbps
카페봄봄오라점,카페,제주특별자치도,제주시,33.49640837,126.5090438,20,4,2,107mbps
마레1440,카페,제주특별자치도,제주시,33.52472758,126.8590684,33,16,24,107mbps
빽다방제주동광육,카페,제주특별자치도,서귀포시,33.31000984,126.3412999,24,12,12,55mbps
제주미작,카페,제주특별자치도,제주시,33.39470603,126.2447114,32,8,17,82mbps
카페드벨로브롬톤,카페,제주특별자치도,제주시,33.48138425,126.5013712,20,5,13,113mbps
티엔미미,카페,제주특별자치도,제주시,33.48522367,126.4877705,27,13,25,150mbps
감성커피연동점,카페,제주특별자치도,제주시,33.48391391,126.4915548,19,3,8,98mbps
모슬포영다방,카페,제주특별자치도,서귀포시,33.22075646,126.2515624,24,6,9,120mbps
앙카페,카페,제주특별자치도,서귀포시,33.22028751,126.2515449,29,5,22,78mbps
시타북빠,카페,제주특별자치도,제주시,33.52623644,126.8540388,36,12,22,118mbps
투썸플레이스제주아라점,카페,제주특별자치도,제주시,33.47430635,126.5483073,32,10,13,143mbps
디저트39,카페,제주특별자치도,제주시,33.494225,126.5489679,48,24,29,63mbps
카페제주완,카페,제주특별자치도,제주시,33.48899007,126.4333991,12,3,10,67mbps
마록당,카페,제주특별자치도,제주시,33.48587821,126.4531634,40,10,36,77mbps
미깡창고,카페,제주특별자치도,제주시,33.46028232,126.4451169,42,14,37,84mbps
리릭스,카페,제주특별자치도,제주시,33.46548013,126.4881018,27,13,21,115mbps
달리북카페;달리책방,카페,제주특별자치도,제주시,33.40329563,126.2547307,33,8,27,64mbps
등대문화센터,카페,제주특별자치도,제주시,33.52138738,126.5457915,36,9,22,107mbps
북촌카페,카페,제주특별자치도,제주시,33.54024737,126.6846674,27,6,12,147mbps
드롭탑서귀포갤러리왈점,카페,제주특별자치도,서귀포시,33.24530483,126.573664,24,4,22,63mbps
제주드루앙,카페,제주특별자치도,제주시,33.49889351,126.678565,27,6,8,95mbps
텀브커피여객,카페,제주특별자치도,서귀포시,33.47293016,126.9345035,29,7,25,141mbps
동신다방,카페,제주특별자치도,제주시,33.50176511,126.5279327,12,2,2,54mbps
망고식스제주프시케월드점,카페,제주특별자치도,제주시,33.41313619,126.3927922,21,7,19,78mbps
씨앤모어,카페,제주특별자치도,서귀포시,33.24504126,126.4155997,25,8,8,119mbps
수가티앙커피로스터,카페,제주특별자치도,제주시,33.49411952,126.9593022,24,4,18,112mbps
커피욜로,카페,제주특별자치도,제주시,33.48677896,126.5346421,49,16,31,108mbps
아도스팩토리,카페,제주특별자치도,제주시,33.35609654,126.2009644,40,10,21,109mbps
에프앤앰빈티지카페,카페,제주특별자치도,서귀포시,33.3084996,126.7823181,41,20,34,124mbps
하이월드하이엔드로스터리,카페,제주특별자치도,제주시,33.46358421,126.3091502,39,7,30,79mbps
이디아장,카페,제주특별자치도,서귀포시,33.23644425,126.3124333,46,11,46,86mbps
태희드림,카페,제주특별자치도,제주시,33.39540252,126.2421257,24,12,5,118mbps
일일오팔족욕카페,카페,제주특별자치도,제주시,33.46708756,126.3365105,27,5,9,132mbps
제돌이팡동문,카페,제주특별자치도,제주시,33.51290152,126.5260317,25,6,6,113mbps
옥,카페,제주특별자치도,제주시,33.50331208,126.526945,28,5,25,57mbps
소소샵,카페,제주특별자치도,제주시,33.52018066,126.9480522,43,21,42,147mbps
달달한제주,카페,제주특별자치도,제주시,33.50941469,126.5104018,45,15,38,100mbps
새코롬,카페,제주특별자치도,서귀포시,33.26213332,126.4325393,35,17,28,128mbps
휴린인터내셔날,카페,제주특별자치도,서귀포시,33.43987149,126.8992115,39,19,22,136mbps
빅트리,카페,제주특별자치도,서귀포시,33.23827859,126.3364201,47,11,36,56mbps
동미다방,카페,제주특별자치도,서귀포시,33.24867024,126.5665118,47,23,43,123mbps
컴포즈커피토평점,카페,제주특별자치도,서귀포시,33.26787417,126.5902119,42,14,29,73mbps
소우정,카페,제주특별자치도,제주시,33.50052568,126.5268202,35,17,18,114mbps
에이바우트커피신제주점,카페,제주특별자치도,제주시,33.48170354,126.482487,18,9,14,59mbps
커피프린스,카페,제주특별자치도,제주시,33.50064285,126.5268088,50,25,44,108mbps
토끼언니외계인,카페,제주특별자치도,제주시,33.4784419,126.4895211,46,23,38,54mbps
제주들녘,카페,제주특별자치도,제주시,33.41707838,126.3136687,47,23,36,81mbps
나비정원,카페,제주특별자치도,서귀포시,33.22039127,126.2493128,10,3,3,53mbps
법인슈퍼파머스,카페,제주특별자치도,서귀포시,33.25586275,126.5789033,35,17,17,97mbps
우도여행,카페,제주특별자치도,제주시,33.52441999,126.9525493,49,9,37,146mbps
위미2리새마을문고북카페,카페,제주특별자치도,서귀포시,33.27480422,126.6675813,45,11,27,77mbps
로아네,카페,제주특별자치도,서귀포시,33.3807496,126.8761201,12,4,1,107mbps
찰리스,카페,제주특별자치도,서귀포시,33.23535869,126.3696158,31,6,26,53mbps
제주설심당,카페,제주특별자치도,서귀포시,33.25191216,126.5679659,24,12,16,139mbps
썬샤인워크,카페,제주특별자치도,서귀포시,33.24807053,126.38929,11,2,9,146mbps
산들티카페,카페,제주특별자치도,서귀포시,33.24737665,126.3348706,49,24,38,71mbps
카페밭티,카페,제주특별자치도,서귀포시,33.25925341,126.533577,19,9,7,57mbps
별위별,카페,제주특별자치도,제주시,33.3423098,126.1745581,37,18,22,72mbps
귤밭에고양이,카페,제주특별자치도,서귀포시,33.27941932,126.6773751,38,7,35,103mbps
빅브라더,카페,제주특별자치도,제주시,33.48712416,126.4916975,50,10,44,140mbps
창고96,카페,제주특별자치도,서귀포시,33.27964673,126.6513969,16,4,3,99mbps
약속다방,카페,제주특별자치도,서귀포시,33.44907084,126.9151402,27,5,23,94mbps
파스쿠찌제주,카페,제주특별자치도,제주시,33.48231405,126.4840327,50,16,43,93mbps
브릭커피,카페,제주특별자치도,제주시,33.48253999,126.4713246,36,12,18,89mbps
워커스폴,카페,제주특별자치도,제주시,33.46916061,126.4170905,31,15,18,72mbps
여름정원,카페,제주특별자치도,서귀포시,33.3610065,126.8389506,42,8,28,50mbps
탤러해시,카페,제주특별자치도,제주시,33.48947102,126.4750485,16,3,14,118mbps
모이,카페,제주특별자치도,서귀포시,33.25698383,126.5771487,43,21,43,55mbps
카페노이,카페,제주특별자치도,서귀포시,33.2369472,126.3039749,43,8,23,133mbps
망고홀릭,카페,제주특별자치도,제주시,33.48271183,126.5343949,10,3,4,103mbps
청춘부부,카페,제주특별자치도,서귀포시,33.26591865,126.2791141,30,6,21,54mbps
카페베네중앙,카페,제주특별자치도,제주시,33.49231864,126.4704796,21,4,1,109mbps
오니리크,카페,제주특별자치도,서귀포시,33.25516641,126.5575297,34,11,32,115mbps
오션컬러,카페,제주특별자치도,제주시,33.54780082,126.6568275,49,12,40,70mbps
5길,카페,제주특별자치도,제주시,33.53188403,126.8422517,30,6,30,104mbps
초밥군커피씨,카페,제주특별자치도,제주시,33.51008934,126.5309764,33,8,14,119mbps
수타로앤카페,카페,제주특별자치도,제주시,33.4976586,126.5291818,17,8,3,149mbps
89커피,카페,제주특별자치도,제주시,33.48709031,126.4300329,48,16,40,124mbps
블랙다방,카페,제주특별자치도,서귀포시,33.2500581,126.5611825,24,8,7,64mbps
오제이이,카페,제주특별자치도,제주시,33.29596355,126.2329807,28,5,20,109mbps
메치카불라,카페,제주특별자치도,서귀포시,33.24413649,126.5643452,20,6,0,108mbps
이룸갤러리카페,카페,제주특별자치도,제주시,33.49391258,126.4828448,18,4,13,92mbps
커피앤빵,카페,제주특별자치도,제주시,33.96190053,126.2939177,33,6,25,62mbps
카페수애기,카페,제주특별자치도,서귀포시,33.24081205,126.3347165,15,7,5,124mbps
카페해피드리머스,카페,제주특별자치도,서귀포시,33.25032735,126.3023988,32,6,15,109mbps
더시크릿하모니,카페,제주특별자치도,제주시,33.48285656,126.4758093,40,13,28,146mbps
니모메,카페,제주특별자치도,제주시,33.4937302,126.4309471,50,10,40,57mbps
락희,카페,제주특별자치도,제주시,33.50546802,126.5202069,38,7,19,142mbps
아임누,카페,제주특별자치도,제주시,33.48536617,126.5005952,31,15,12,62mbps
쿠킹클래스카페어썸,카페,제주특별자치도,서귀포시,33.25991168,126.5711676,25,5,6,110mbps
봄봄한북로점,카페,제주특별자치도,제주시,33.46337437,126.5300879,24,6,14,67mbps
화수목,카페,제주특별자치도,제주시,33.54083949,126.8305644,33,6,21,95mbps
2472,카페,제주특별자치도,서귀포시,33.2558827,126.4164397,29,7,25,147mbps
동원,카페,제주특별자치도,제주시,33.51283957,126.5287013,14,2,7,76mbps
나우커피제주도남점,카페,제주특별자치도,제주시,33.49323852,126.5238684,16,5,2,57mbps
해거름전망대,카페,제주특별자치도,제주시,33.37281256,126.2080863,41,10,24,91mbps
루페이퍼,카페,제주특별자치도,서귀포시,33.27721927,126.1917228,28,9,26,109mbps
카페제이라움,카페,제주특별자치도,서귀포시,33.25642909,126.1904548,15,3,13,82mbps
카페리,카페,제주특별자치도,제주시,33.53395437,126.8396534,29,14,13,127mbps
벌크커피,카페,제주특별자치도,제주시,33.48866344,126.4759572,36,7,26,74mbps
카페치즈태비,카페,제주특별자치도,제주시,33.55515074,126.8078688,45,11,35,54mbps
그리그리카페,카페,제주특별자치도,제주시,33.50074677,126.5328132,37,7,24,123mbps
52번가커피하우스,카페,제주특별자치도,제주시,33.49567583,126.527008,13,6,0,77mbps
바끄레카페,카페,제주특별자치도,서귀포시,33.2539115,126.5596072,34,17,32,110mbps
럭스하우징주,카페,제주특별자치도,서귀포시,33.25999997,126.6146641,30,10,20,150mbps
플루메리아,카페,제주특별자치도,서귀포시,33.23789428,126.5125323,44,11,28,146mbps
피오레,카페,제주특별자치도,제주시,33.49002442,126.4931977,40,8,31,72mbps
그럼외도,카페,제주특별자치도,제주시,33.49430316,126.4339994,30,10,22,111mbps
아리,카페,제주특별자치도,제주시,33.45745455,126.710987,47,15,38,110mbps
제피로스,카페,제주특별자치도,서귀포시,33.25068103,126.57176,46,9,41,64mbps
지에프,카페,제주특별자치도,제주시,33.50593974,126.495957,45,9,35,95mbps
분홍씨,카페,제주특별자치도,제주시,33.45293013,126.3080086,10,2,8,124mbps
초가시월,카페,제주특별자치도,서귀포시,33.38463847,126.8018823,20,4,16,136mbps
원앤온리,카페,제주특별자치도,서귀포시,33.23922235,126.3191925,14,4,13,150mbps
워크인제주,카페,제주특별자치도,제주시,33.32405657,126.1643666,19,6,1,66mbps
감따남,카페,제주특별자치도,서귀포시,33.26205841,126.4945933,32,10,20,109mbps
페이지투,카페,제주특별자치도,서귀포시,33.20683316,126.2896162,21,10,4,68mbps
이디야제주삼화점,카페,제주특별자치도,제주시,33.51352114,126.5803394,10,3,4,57mbps
대일계획,카페,제주특별자치도,서귀포시,33.22842958,126.2531277,13,4,2,71mbps
구름언덕&KANGSHIMJANG,카페,제주특별자치도,제주시,33.4984245,126.6550316,28,9,8,74mbps
유끼네하우스,카페,제주특별자치도,서귀포시,33.39389108,126.7975404,45,15,36,65mbps
셀렉토커피제주삼화점멜리,카페,제주특별자치도,제주시,33.51615042,126.5766994,18,4,1,128mbps
그라미니,카페,제주특별자치도,서귀포시,33.2416636,126.5662352,40,13,34,128mbps
서이,카페,제주특별자치도,제주시,33.49868675,126.5245488,33,8,23,68mbps
그러므로파트투,카페,제주특별자치도,제주시,33.46842821,126.48589,30,10,12,130mbps
어글리딜리셔스,카페,제주특별자치도,제주시,33.48898364,126.5359215,17,4,17,137mbps
52카페,카페,제주특별자치도,서귀포시,33.21989088,126.2470752,22,11,18,125mbps
카페더블유,카페,제주특별자치도,서귀포시,33.24862658,126.3225641,39,7,29,54mbps
제주봄,카페,제주특별자치도,서귀포시,33.2502644,126.5872037,48,9,42,58mbps
씨씨씨카페커브코너,카페,제주특별자치도,서귀포시,33.25403038,126.5575354,44,8,26,125mbps
에이바우트커피,카페,제주특별자치도,제주시,33.47814918,126.4755579,11,5,8,148mbps
슬로우식스,카페,제주특별자치도,제주시,33.48948672,126.4917913,39,13,20,117mbps
카페,카페,제주특별자치도,서귀포시,33.25811958,126.5691803,41,13,39,72mbps
예술창고내맘,카페,제주특별자치도,서귀포시,33.33125869,126.7940657,17,8,0,123mbps
카페요디,카페,제주특별자치도,제주시,33.54237809,126.6753463,32,16,32,79mbps
지금이순간,카페,제주특별자치도,제주시,33.46042089,126.3109932,45,22,27,50mbps
아날로그감귤밭,카페,제주특별자치도,제주시,33.45567374,126.4508685,13,3,7,55mbps
디피일오구,카페,제주특별자치도,서귀포시,33.23947253,126.4378359,40,10,29,53mbps
메가엠지씨커피제주한라대점,카페,제주특별자치도,제주시,33.4761619,126.4789373,35,17,31,107mbps
커피구십구점구,카페,제주특별자치도,제주시,33.46973022,126.4846129,25,6,12,89mbps
컴포즈커피서귀포,카페,제주특별자치도,서귀포시,33.22107658,126.253823,44,22,42,116mbps
제주와함께,카페,제주특별자치도,제주시,33.49130621,126.4740905,47,23,44,74mbps
블루그라스,카페,제주특별자치도,제주시,33.44744631,126.3092352,39,19,20,127mbps
카페평화쉼터,카페,제주특별자치도,제주시,33.46080339,126.6131757,44,22,35,91mbps
스물다섯,카페,제주특별자치도,제주시,33.48900883,126.4809048,13,6,7,132mbps
카페신산,카페,제주특별자치도,제주시,33.50395459,126.5323225,41,8,36,112mbps
산노루,카페,제주특별자치도,제주시,33.33003816,126.2133067,34,17,22,50mbps
에이바우트커피신라,카페,제주특별자치도,제주시,33.48576926,126.4867129,15,3,2,142mbps
에이바우트커피한라도서관점,카페,제주특별자치도,제주시,33.47753335,126.5147233,40,13,31,135mbps
스타스낵,카페,제주특별자치도,제주시,33.50489477,126.4983953,33,16,16,119mbps
쉬멍가,카페,제주특별자치도,서귀포시,33.2489759,126.5636774,25,5,21,53mbps
차의향기,카페,제주특별자치도,제주시,33.5142663,126.5269176,19,4,0,102mbps
띠아모제주공항3층,카페,제주특별자치도,제주시,33.50593974,126.495957,37,18,34,144mbps
보배다방,카페,제주특별자치도,서귀포시,33.44970858,126.9116979,36,7,34,82mbps
루바토,카페,제주특별자치도,제주시,33.48849631,126.535795,39,13,24,68mbps
안길9,카페,제주특별자치도,제주시,33.48402907,126.4674529,28,14,19,127mbps
레스카페,카페,제주특별자치도,서귀포시,33.24640383,126.5213483,26,8,12,149mbps
블레블랑제리,카페,제주특별자치도,제주시,33.47475838,126.5437219,47,23,43,128mbps
미르담,카페,제주특별자치도,제주시,33.51094785,126.5037202,43,8,42,94mbps
문즈,카페,제주특별자치도,제주시,33.49714658,126.5179499,32,8,26,128mbps
벌크커피신제주점,카페,제주특별자치도,제주시,33.48959104,126.4886594,39,19,20,65mbps
그라찌에보건의료관점,카페,제주특별자치도,제주시,33.4474759,126.4343037,34,17,24,53mbps
마노앤디또,카페,제주특별자치도,제주시,33.42584546,126.3958219,43,10,27,78mbps
마니,카페,제주특별자치도,제주시,33.53731426,126.8373002,22,7,5,104mbps
돌카페,카페,제주특별자치도,서귀포시,33.2362498,126.4980464,10,2,8,82mbps
동백화방,카페,제주특별자치도,서귀포시,33.27334317,126.6742418,32,6,27,140mbps
리지코티지,카페,제주특별자치도,서귀포시,33.29131935,126.3278061,47,15,35,91mbps
녹두카페,카페,제주특별자치도,서귀포시,33.4326145,126.8626801,14,2,5,79mbps
맥키쉬,카페,제주특별자치도,제주시,33.52362183,126.5654788,26,8,15,140mbps
협재해녀다방,카페,제주특별자치도,제주시,33.39839064,126.2442388,19,4,12,145mbps
쿠루미,카페,제주특별자치도,제주시,33.49269859,126.5012095,42,8,30,90mbps
88로스터즈,카페,제주특별자치도,제주시,33.52585979,126.5634869,22,7,21,90mbps
벨라위미,카페,제주특별자치도,서귀포시,33.27645753,126.6654605,32,16,23,68mbps
코지코너,카페,제주특별자치도,제주시,33.51303993,126.5316063,28,7,9,143mbps
유구레,카페,제주특별자치도,서귀포시,33.25102767,126.4310766,35,7,31,114mbps
파스쿠찌제주,카페,제주특별자치도,제주시,33.48910544,126.5395686,40,10,22,144mbps
투썸플레이스제주쇠소깍점,카페,제주특별자치도,서귀포시,33.25224332,126.6226284,21,5,2,77mbps
투썸플레이스제주연동점,카페,제주특별자치도,제주시,33.4850532,126.4901602,10,5,7,70mbps
롱플레이,카페,제주특별자치도,제주시,33.55306903,126.7109382,18,9,1,126mbps
망고홀릭애월해안도로점,카페,제주특별자치도,제주시,33.47053168,126.3415942,24,6,17,128mbps
봄봄카페오일장점,카페,제주특별자치도,제주시,33.49337083,126.4848172,24,4,11,125mbps
우연히그곳,카페,제주특별자치도,제주시,33.47172027,126.7827716,27,6,8,142mbps
무채색,카페,제주특별자치도,서귀포시,33.25440413,126.4300674,27,5,19,58mbps
윤재커피,카페,제주특별자치도,제주시,33.51183892,126.5240141,19,9,1,55mbps
오엔블루,카페,제주특별자치도,서귀포시,33.40740308,126.8976794,38,7,34,102mbps
거인의정원,카페,제주특별자치도,제주시,33.47184179,126.5352491,17,4,2,57mbps
자파리버거,카페,제주특별자치도,제주시,33.4187034,126.4011073,20,10,7,147mbps
휴예그리나,카페,제주특별자치도,제주시,33.52397901,126.9546917,17,3,4,146mbps
초록달과자점,카페,제주특별자치도,제주시,33.43591385,126.3303925,13,6,8,57mbps
황금다방,카페,제주특별자치도,제주시,33.5080536,126.5243685,27,13,19,88mbps
고망딱새,카페,제주특별자치도,제주시,33.50345155,126.4596392,35,11,21,56mbps
화양연화,카페,제주특별자치도,서귀포시,33.28890443,126.2478035,17,8,7,74mbps
오로지,카페,제주특별자치도,서귀포시,33.26765906,126.5878732,13,2,9,51mbps
제주돌창고,카페,제주특별자치도,제주시,33.33708908,126.2335656,20,5,10,77mbps
3인칭관찰자시점,카페,제주특별자치도,제주시,33.34974675,126.1811914,18,3,10,52mbps
화수목스튜디오,카페,제주특별자치도,제주시,33.52435586,126.8572713,43,8,32,143mbps
파스쿠찌제주서사라점,카페,제주특별자치도,제주시,33.49967325,126.518517,16,3,2,89mbps
언플러그,카페,제주특별자치도,제주시,33.45952896,126.4541356,49,24,47,113mbps
진명북카페,카페,제주특별자치도,제주시,33.53921255,126.6749813,32,6,21,133mbps
귤꽃다락,카페,제주특별자치도,서귀포시,33.24640841,126.5225393,37,18,27,104mbps
제주애퐁당,카페,제주특별자치도,제주시,33.5155621,126.5262648,35,8,34,133mbps
포레스타,카페,제주특별자치도,서귀포시,33.24816911,126.5807644,15,3,1,54mbps
동명리공간,카페,제주특별자치도,제주시,33.40972565,126.2655979,27,9,15,52mbps
카페오르덴,카페,제주특별자치도,제주시,33.48673109,126.4264307,16,3,2,103mbps
르카페하도,카페,제주특별자치도,제주시,33.50907919,126.8995833,18,6,7,146mbps
가배미,카페,제주특별자치도,서귀포시,33.2742092,126.5678991,46,9,32,120mbps
꿀스커피제주아라점,카페,제주특별자치도,제주시,33.48547958,126.544053,18,4,10,126mbps
새벽노을,카페,제주특별자치도,서귀포시,33.27305539,126.6577345,16,3,13,94mbps
물음표,카페,제주특별자치도,제주시,33.50429118,126.5189757,43,21,32,125mbps
플레이스꽃섬,카페,제주특별자치도,제주시,33.46944894,126.4841842,16,4,10,79mbps
소이재,카페,제주특별자치도,제주시,33.489062,126.4785373,13,2,5,120mbps
밀류,카페,제주특별자치도,서귀포시,33.31697469,126.8281959,19,3,6,149mbps
시간의정원,카페,제주특별자치도,서귀포시,33.31510961,126.7198446,16,5,3,136mbps
파스쿠찌종합,카페,제주특별자치도,제주시,33.48957693,126.5235764,41,10,34,92mbps
금능맛차롱,카페,제주특별자치도,제주시,33.39039846,126.2362042,26,13,24,68mbps
블러썸,카페,제주특별자치도,제주시,33.51940665,126.5718829,26,8,20,136mbps
뮤제빈티지,카페,제주특별자치도,서귀포시,33.28070345,126.6968,17,5,5,128mbps
향기다방,카페,제주특별자치도,제주시,33.50270106,126.5274864,35,17,35,79mbps
하라케케,카페,제주특별자치도,서귀포시,33.24286675,126.5277196,41,8,39,79mbps
몽슬슬라임카페,카페,제주특별자치도,서귀포시,33.21678417,126.2582252,16,3,3,68mbps
에이바우트커피구남점,카페,제주특별자치도,제주시,33.4850867,126.535372,21,5,13,107mbps
아일랜드,카페,제주특별자치도,서귀포시,33.27831955,126.7182662,29,7,18,69mbps
마더카페,카페,제주특별자치도,서귀포시,33.2813004,126.7415294,40,20,35,68mbps
르샹스,카페,제주특별자치도,제주시,33.50012153,126.5201933,28,14,23,73mbps
한미숙커피공방,카페,제주특별자치도,제주시,33.516732,126.5352137,48,12,36,128mbps
카페바라크라,카페,제주특별자치도,서귀포시,33.24163675,126.6041436,11,3,7,72mbps
카페블루하우스,카페,제주특별자치도,서귀포시,33.25116648,126.5610052,30,7,26,72mbps
더벤티,카페,제주특별자치도,서귀포시,33.25676874,126.5722561,20,4,5,146mbps
또시온,카페,제주특별자치도,제주시,33.51351286,126.6768104,47,9,39,119mbps
콕스,카페,제주특별자치도,제주시,33.49033983,126.5203441,48,12,48,84mbps
미크라트,카페,제주특별자치도,제주시,33.4169728,126.2729767,24,8,16,69mbps
제주인이제이,카페,제주특별자치도,서귀포시,33.245341,126.2786178,49,24,44,87mbps
예그리나,카페,제주특별자치도,제주시,33.51555643,126.5131765,43,8,33,96mbps
봄벳,카페,제주특별자치도,서귀포시,33.2667694,126.3946765,38,12,34,97mbps
양과자회관,카페,제주특별자치도,서귀포시,33.362044,126.7657242,20,5,11,85mbps
레이오버,카페,제주특별자치도,제주시,33.55861978,126.8123841,24,4,23,95mbps
오월의향,카페,제주특별자치도,제주시,33.47047672,126.5415282,38,7,24,53mbps
비에노즈,카페,제주특별자치도,제주시,33.44246297,126.2842281,26,5,20,126mbps
아스쿰,카페,제주특별자치도,제주시,33.49687021,126.5524301,48,24,29,81mbps
메이비아모르,카페,제주특별자치도,서귀포시,33.2544583,126.5105194,10,2,4,103mbps
빽다방빵연구소제주합동,카페,제주특별자치도,제주시,33.49013111,126.5270274,46,9,26,103mbps
컴포즈커피서귀포,카페,제주특별자치도,서귀포시,33.25821708,126.5686968,13,2,6,66mbps
영희의정원민박&카페,카페,제주특별자치도,제주시,33.46276674,126.3960392,45,22,30,117mbps
소보리당로222,카페,제주특별자치도,서귀포시,33.26292672,126.3833053,45,11,35,145mbps
새물,카페,제주특별자치도,제주시,33.47858469,126.3696996,35,17,22,142mbps
와랑와랑,카페,제주특별자치도,서귀포시,33.27228529,126.6765534,29,7,14,113mbps
카페안녕성산,카페,제주특별자치도,서귀포시,33.46189448,126.934544,27,9,26,113mbps
용소담,카페,제주특별자치도,제주시,33.51540532,126.5137263,43,14,35,55mbps
파스쿠찌제주한라,카페,제주특별자치도,제주시,33.4901296,126.4859017,26,5,12,110mbps
표선카페,카페,제주특별자치도,서귀포시,33.32589003,126.8335163,20,5,15,121mbps
꼬닥꼬닥,카페,제주특별자치도,제주시,33.35877805,126.2015523,38,7,35,120mbps
더벤티서귀포오일,카페,제주특별자치도,서귀포시,33.26543594,126.5703786,41,13,34,51mbps
제이에스디비,카페,제주특별자치도,제주시,33.51737903,126.5275035,25,8,9,145mbps
에이바우트커피,카페,제주특별자치도,제주시,33.48917705,126.5394283,46,15,32,81mbps
나우커피제주,카페,제주특별자치도,제주시,33.48434981,126.4728845,19,4,1,134mbps
포시즌스,카페,제주특별자치도,제주시,33.41352926,126.2823584,29,7,18,136mbps
파스쿠찌용담해안도로점,카페,제주특별자치도,제주시,33.51944295,126.4931123,20,5,11,71mbps
미세스테라,카페,제주특별자치도,제주시,33.48721047,126.546465,10,3,10,120mbps
야시장이동식판매대,카페,제주특별자치도,제주시,33.51027951,126.526455,40,10,24,133mbps
아꼬와,카페,제주특별자치도,제주시,33.49681404,126.9068506,13,2,12,135mbps
제레미,카페,제주특별자치도,제주시,33.46444764,126.318545,46,9,28,116mbps
